# {"t_start": 1572909415.596498, "env_id": "AntBulletEnv-v0"} 
r,l,t
467.626321,1000,4.16572
337.252665,1000,7.42374
473.156089,1000,10.797002
451.388895,1000,14.063261
388.924794,1000,17.28729
477.252499,1000,20.349274
465.951524,1000,23.527631
451.761923,1000,26.034044
522.850091,1000,28.812245
476.050161,1000,31.973679
332.995811,1000,35.213325
359.890609,1000,38.383417
512.458089,1000,41.624872
498.478706,1000,44.694493
422.458085,1000,47.821245
491.423534,1000,51.014802
498.501623,1000,54.153847
521.694844,1000,57.018917
477.499742,1000,60.077082
531.128857,1000,63.332389
505.679746,1000,66.487664
485.318241,1000,69.677608
495.289909,1000,72.906589
555.266717,1000,76.000386
507.415427,1000,79.131852
525.47213,1000,82.248495
562.429098,1000,85.437894
502.922599,1000,88.120719
544.191919,1000,91.185046
489.243005,1000,93.564881
466.259759,1000,96.653281
506.978676,1000,99.830804
448.785715,1000,102.992292
478.209535,1000,106.232856
532.932681,1000,109.449683
543.47797,1000,112.534893
509.667222,1000,115.656404
495.655785,1000,118.721776
512.106234,1000,121.907967
473.511111,1000,124.94903
539.294178,1000,128.168464
509.041451,1000,131.216762
492.842351,1000,134.202383
474.031853,1000,137.41397
491.527684,1000,140.423716
464.265981,1000,143.588752
486.138688,1000,146.920161
462.790868,1000,150.113332
494.668937,1000,153.348176
595.253728,1000,156.439771
272.946692,529,158.013001
545.594264,1000,161.107951
595.127612,1000,164.119581
477.090804,1000,167.242654
508.634533,1000,170.361528
489.551094,1000,173.530321
510.319035,1000,176.034004
550.005772,1000,179.117764
486.578285,1000,182.232168
492.297807,1000,184.929194
523.11285,1000,187.928247
527.275872,1000,191.059927
519.41361,1000,194.176119
508.548198,1000,197.337091
380.16442,1000,200.451376
481.761287,1000,203.449538
529.093951,1000,206.613638
498.983539,1000,209.754115
494.733888,1000,212.84977
515.311468,1000,215.969422
484.214866,1000,218.608299
486.820389,1000,221.447333
402.448828,1000,224.637342
318.127864,1000,227.769344
461.23869,1000,231.003207
492.35575,1000,234.029245
449.069603,1000,237.155533
514.684489,1000,240.23897
430.027323,1000,243.40668
447.368945,1000,246.491939
455.527945,1000,249.639949
432.412967,1000,252.729268
468.870948,1000,255.847653
448.715252,1000,258.988328
482.808065,1000,262.304514
442.542346,1000,265.356935
475.896594,1000,268.507133
554.980953,1000,271.626555
471.082089,1000,274.815187
490.424588,1000,277.958678
485.971169,1000,281.153639
455.904295,1000,284.177705
452.915615,915,287.148488
444.807579,1000,289.722603
460.990347,1000,292.896498
465.045608,1000,295.895648
461.793194,1000,299.058695
448.85984,1000,302.108382
456.202973,1000,305.404613
448.579527,1000,308.421841
494.668778,1000,311.670913
492.273935,1000,314.870943
292.95423,511,316.397234
497.583191,1000,319.640514
465.943353,1000,322.678057
451.524335,1000,325.873281
441.481909,1000,329.026572
469.792612,1000,332.235736
439.724216,1000,335.439957
440.520381,1000,338.601459
478.609153,1000,341.755176
452.201395,1000,344.873548
325.624217,629,346.804613
411.890777,1000,349.860917
472.028836,1000,353.0087
458.041969,1000,356.1638
482.779144,1000,359.202069
455.247782,1000,362.298986
450.406761,1000,365.496581
415.93642,1000,368.587927
535.686928,1000,371.698125
486.304038,1000,374.047699
